zip,mhi,pct_pov,pct_col,pct_unins,pct_essworkers,pct_overcrowded,pct_transit,pct_old,pct_new_imm,pct_non_cit,total_pop,city_name,pct_diabetes,pct_hbp,city,tests,positives,deaths
02108_02114_02116_02199_02222_02109_02110_02013​,108521.76278364856,0.11501629546135586,0.2737143687586937,0.024496395774850716,0.19430655542269964,0.021574277052647344,0.21880216826235402,0.21197085141279298,0.288310618464312,0.10872589117030332,48167,Boston,6.916668051861702,20.619671708776593,Boston,1431,248,NA
02111_02118,59845.707573554086,0.24712258070881984,0.5659469739344446,0.02814970360652879,0.313180188982442,0.037148755003728134,0.2716375177996423,0.16769213558563598,0.18519543724312862,0.13678823134578813,35756,Boston,9.843125382924281,24.045089559231627,Boston,1763,532,NA
02115_02215,41083.58439161657,0.38149798391870426,0.416997094669907,0.03736394784082024,0.2548333585478082,0.0322460511868964,0.2780147810445403,0.06857675370475268,0.45691106772241746,0.18045937105998866,54727,Boston,5.013627392567216,14.899501005436807,Boston,670,111,NA
02119_02120,31650.342129060682,0.35598961922946853,0.796021054096042,0.041684016176217344,0.44319455626306986,0.029642890578245144,0.4020811335502699,0.15020752660746167,0.23895570768069727,0.13233009483618152,43127,Boston,12.317115882048629,28.9751707190895,Boston,1290,472,NA
02121_02125,44399.18123123357,0.28408271549704067,0.8270298862734726,0.056498399833262714,0.48905249587933414,0.03275829774043491,0.39738127305383797,0.15366305210261835,0.21074561226824728,0.16806944941425392,64277,Boston,13.386273599684369,31.89318147533565,Boston,1897,804,NA
02122_02124,55435.75445103858,0.2071060695410791,0.7879698318496539,0.03905430355888947,0.502877812885333,0.03295572601531432,0.36130289497983753,0.167148862512364,0.145709056483651,0.13553412462908013,80880,Boston,12.13612831290509,31.031122858242956,Boston,2400,943,NA
02126,52474,0.20146832849581697,0.9590078064276301,0.040401982752767025,0.5279773418071291,0.042793462109955424,0.33510983075261075,0.19813456794295564,0.1730786972967986,0.13629143996485418,29591,Boston,14.787935845193408,36.93188670534155,Boston,873,405,NA
02127_02210,104419.92936598993,0.1428610879055332,0.22417319299645833,0.022683138286997386,0.2372334562806543,0.020482012187877558,0.3502810197425423,0.12854791240584626,0.1198701914440973,0.051329375966478775,40094,Boston,6.658286276305303,19.837794848315276,Boston,759,221,NA
02128,55483,0.1933744221879815,0.6682293775438447,0.07847533632286996,0.61324899628816,0.09945728398073053,0.5572418599248906,0.12446992136722995,0.22679658952496953,0.36754959831227224,46927,Boston,9.87972808830737,24.351970081189936,Boston,1171,548,NA
02129,118226,0.1797328086164043,0.26826001854331927,0.009996374371989435,0.22030535668075565,0.02033149171270718,0.26597131681877445,0.15736066755949316,0.13336962438758845,0.06660142165447615,19414,Boston,7.068594828474297,21.443118368187907,Boston,410,93,NA
02130,90813,0.15315315315315314,0.4336379622062065,0.02419007573646749,0.31385390428211585,0.023750826769286273,0.4181708264962432,0.1820590930480224,0.19727206151592824,0.10788320083215693,40377,Boston,8.491787198669993,23.77283088574859,Boston,1181,364,NA
02131,73199,0.12060649906553325,0.5302182345799651,0.03313769751693002,0.3870308635337133,0.034847051403342794,0.2696067662565905,0.18965976725592965,0.1392942915204138,0.10301738177726452,33771,Boston,10.024976378585933,27.96299981907002,Boston,1208,397,NA
02132,100915,0.06068498037816625,0.23203566539123108,0.018090523841743526,0.34386835575290586,0.014797303213378863,0.17053547876549724,0.2775652051813108,0.12065585457137765,0.062414434654403765,28487,Boston,8.764290319609469,27.247819379202358,Boston,761,247,NA
02136,64784,0.14376090105536998,0.7459310989685299,0.03376829483336272,0.5148244916505736,0.04148891677122543,0.2532824339175198,0.18078485229231803,0.1395423012518938,0.12710750080355315,34223,Boston,11.589172776753182,31.571089919481807,Boston,1599,580,NA
02163_02134_02135,67136.24586618607,0.2052987250126694,0.3778178268378764,0.043974594599328704,0.2838732709389276,0.025410343579417634,0.35044279844802917,0.13114064729293384,0.32318448951455325,0.17503942329353459,66585,Boston,5.011598000975134,15.811060661465952,Boston,1373,413,NA
10001,88526,0.1326349350945115,0.4685918687838074,0.04309893561333101,0.19686629526462396,0.030890515646367953,0.49660007010164736,0.2104781015529576,0.22906850308082635,0.153856220554877,22924,New York,6.002611473815808,19.660184284854378,New York,685,288,NA
10002,35859,0.27657485609769217,0.7803528329310736,0.05923349608721824,0.36651556721937256,0.08255813953488372,0.5457870991342519,0.2825330364167322,0.089836860670194,0.16544210793007347,74993,New York,14.304272496831434,29.96549556400507,New York,1603,780,NA
10003,112131,0.08453640254584968,0.2955451519695695,0.039065077910174155,0.1422794344631722,0.034795590261828206,0.5112934423160916,0.16921473245309243,0.3066213640507168,0.124172488204528,54682,New York,4.389749028938354,16.21804956355975,New York,977,368,NA
10004,157645,0.021796565389696168,0.3943196829590489,0.04920739762219287,0.07466281310211946,0.038577456298975285,0.5433414043583535,0.13705416116248348,0.4324022346368715,0.1859313077939234,3028,New York,2.845446304466066,11.507874539191393,New York,75,26,NA
10005,173333,0.09511946551919374,0.30562790170988563,0.026837277771486808,0.08325939071280686,0.13283036122542297,0.6284903688218605,0.016645906465858906,0.3473053892215569,0.1399614992639565,8831,New York,2.1087295570237194,9.387214339867864,New York,156,48,NA
10006,176250,0.04748118123914302,0.36797915460335845,0.020845396641574986,0.1280695126558368,0.10869565217391304,0.5652680652680653,0.03647944412275622,0.27569331158238175,0.15720903300521136,3454,New York,2,9.2,New York,68,16,NA
